name,approx_cost(for two people)
Crack That,500
Yummy Punjabi Delight,500
TRP -That Roll Place,200
Sri Krishna Upahar,250
Uttar Karnataka Lunch Home,150
Chatorr,400
Maa Vooru,300
Hotel Masthi Kabab,300
Ambur Biriyani Centre,150
Spice Of Kolkata,400
Spicy Hub,400
Taste Of India,400
Savi Sagar,400
Park N Eat,300
Ghar Ki Rasoi,500
Yummy Punjabi,400
Al Khansah,600
Apna Veg Dhaba,550
Ambur Dum Biriyani,150
Biriyani Adda,350
Rangla Punjab,450
Basaveshwara Khanavali,150
Punjabi Khana,500
Yummy Tummy,400
Hyderabadi Bawarchi Biriyani,450
Atithi Family Bar & Restaurant,500
Easy Bites,300
Al-Bek,450
The Paratha Company,400
Indiana Burgers,300
Fish Chain,250
Empire Restaurant,400
Kitchens@Mahadevpura,600
Punjabites,400
Maa Bhook Lagi,400
Kitchens@Whitefield,400
Chatpatlal Sweets & Snacks,200
Vegetarea,250
Chaat Street,250
HomelyDelight,300
BOX8- Desi Meals,500
The Good Bowl,500
New Shanthi Sagar,300
Food Mood,350
CakeZone,200
Ganesh Bhavan,200
Shaadi Ki Biryani,600
Punjabi Tasty Khana,450
Roti Ghar Ki,400
Kerala Tiffin,300
Karama Restaurant,400
Delhi Kitchen,400
MRA,200
Dabba Gosht,400
Basmati's Briyani Nation,350
Andhra Ruchi's Restaurant,500
Mojo Pizza - 2X Toppings,600
Juice Shop,150
Not Just Waffles,400
The Delhiwala's Kitchen-Pure Veg,200
Litti House,300
Ginger & Garlic,350
Firangi Bake,600
Dunkin' Donuts,550
Chandrika Tiffins,300
Tastybites.com,150
Palak Ande Ka Funda,300
Slurpy Shakes,300
S'Mack,300
AutoExpress - Hot Dogs,300
KBC - Kebab Biryani Curry,400
Beijing Bites,400
Real Fresh Dosa Corner,200
Arogya Thaana,200
Koylas,400
Erivum Puliyum,500
Spellbound,400
McDonald's,500
Cupcake Bliss,250
Biryani Factory,400
Bombay Sandwich Company,400
Gowri Gajanand Sweets,300
Techies Kitchen,400
Mugs N Burgers,600
Healthie,600
Estaa Sweets,300
Combo Biriyani,400
Eatzgreen,500
Lassi Corner,200
Bobacha,300
Bowl N Biryani,500
Chef Delicacies,400
Rishitha Restaurant,500
YumYumDilli,500
Ooh La La,500
The Litti Company,400
Chai Galli,300
Ramdev Sagar,250
Shake It Off,600
Thalis Of India,500
Hunger Stop,300
Nikhil's Food Court,300
Chaai Resto,200
Nagas,500
Meat And Eat,500
Noodle Oodle,400
Frozen Bottle,400
InnerChef,500
The Duke Of Juices,200
Tall Blonde French,400
NISO Chinese Restaurant,350
Habib Shaheb Kolkatta Katti Rolls,200
Samosa Singh,250
Momo Mania,300
Le Charcoal,600
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,500
World In A Bowl,600
Baskin Robbins,250
The Belgian Waffle Company,250
Crazy Crush - Juices & Desserts Cafe,300
Rolls & Bowls,250
YumYumSouth,600
Cream and Fudge,250
Sri Sai Bhavan,300
Kettle & Kegs,200
Andhra Ruchulu,500
Lassi Magic,150
Taste of Chettinad,400
Treatley,500
Amaravati Authentic Andhra Restaurant,600
Crunchie Corner,450
Juice Berg,150
The North and South Restaurant,400
The Hyderabad Chefs,600
Aashish Foods,150
Lulu's Bakery & Fast Food,300
Taishty,200
Prathika Annapurna Grand,500
Dragon Box,450
Office Lunch Box,200
Arusuvai D' Kitchen,350
UBQ by Barbeque Nation,450
Expresso Restaurant,400
Pita Pocket Factory,500
Dande Hyderabad Biryani,500
SGS Non Veg - Gundu Pulav,300
Lucky Singh & Co,350
Cheers Life,300
Metrolicious,400
Tanuja Home Food,300
Imperio Cafe,200
Gusto's Pizza,500
Wang Fu Kitchen,400
BIB-Breakfast in the Box,600
Celebrations 365,350
Aaha,300
Rayalaseema Spices,550
Kitchen Online,300
Foodie,300
D'Brooks,400
Biryani Park,500
Cuppa,400
Delhi Belli,500
ReadyBowl,400
La Mirch,400
@99,200
Hunger Genie,450
Spoon Me,400
La Mensa,400
Kitchen Rabbit,500
Baba Fattoosh,300
Foody Baba,500
Loafers,500
Wish Pot,300
Food And Biryani (FAB),500
Mughal Restaurant,600
Dinepost 9,450
Kaayal,500
Shreeji Restaurant,300
The Pallavas ( Authentic Taste Of Southern Cuisine ),400
4700BC Popcorn,500
Lila Kitchen,500
Cravingz,400
Andhra Spices,400
CocoFresh,300
Nitehunger,500
Andhra Star Biryani,200
Glen's Bakehouse,600
Corner House Ice Cream,400
BelgYum,400
Lemon Krust,150
Cold Stone Creamery,400
Kanti Sweets,400
Warm Oven,500
Thanco's Natural Ice Cream,450
Keventers,400
Karachi Bakery,400
Artinci Artisanal Ice Cream,300
Krispy Kreme,300
Pulla Reddy Sweets,250
Kartik's Mithai Shoppe,150
Lassi Shop,200
Little Black Choux,250
Sweet Truth,500
Auntie Anne's,500
Mojo Bites,250
Calvin's,600
Mist n Creams,400
Just Bake,400
Cake Dilim,400
Aditya Sweets,200
Cake 24x7,450
Polar Bear,400
The 3 Musketeers,200
Ooty Chocolates,300
Gelato Italiano,200
Cookie Man,150
Master Brothers,450
Premium Bombay Kulfi,150
INDULGE by InnerChef,400
Kreme Delight,300
Mubeena Shariff Chocolatier,500
Cream & Fudge,250
Frosting Flavours,150
New Rajalakshmi Sweets,300
Ice Stone Creamery,400
Sweet Tooth - Do you have one?,600
Sweet Nothings Couture Cupcakes,250
Kitchen Aroma,400
The Pastry Inn,400
Apsara Ice Cream,200
Online Cake and Flower.com,500
Cupcake Couture,300
Ice Cream Works,300
Happy Endings,300
Cakesta,500
Bakingo,500
Cafesta,550
Andhra Kafe,550
Mavalli Tiffin Room (MTR),400
King Of Spices,500
Kabab Mandra,300
Onesta,600
Lot Like Crepes & Cafe,600
Hasee-E-Shan Makers Of Biryani,500
Tandoor Box,600
Nandhini Deluxe,600
Anushka Restaurant,600
Bhagini IRIS,600
Sri Lakshmi Vaibhav,500
Spicy Onion,400
Abhiruchi Andhra Mess,300
Sri Udupi Park,300
Kalmane Koffees,350
A2B - Adyar Ananda Bhavan,400
Thalassery Restaurant,500
Chinese Chaska,550
Treat Restaurant,400
Dilli Darbar,500
Annapurna Bengali Restaurant,350
SV Restaurant,550
Hotel Triloka,400
Drunken Monkey,500
Gali Parathae Wali,400
Biryani House,450
The Punjabi Park,500
Punjabi Park,400
Special Biryani House,400
Food Point,450
VIHAR Family Restaurant,600
FreshEats,400
Mithai Time,200
Friendz Zone,400
ASIA SEVEN,300
The Difference,600
Fashion Knack Cafe,250
KC Das - Sweet Sensation,200
Kolkata Famous Kati Roll,150
Nellore Mess & Tiffens,200
Visantoe,400
Butterly Cafe,550
Biryani Express,600
Inhouse Burger,400
Punjab Junction,350
Hotel Sai Renaissance,450
Dilli Dil Se,400
Soup N Grill,600
The Kimchi Chef,500
Masala Chai,250
Fusion Panda,300
Sri Guru Nalapaka Restaurant,550
Sri Shankar Andhra Mess,200
Punjabi Tadka,500
Corprate Biriyani Adda,500
Biryani Bowl,550
Adupadi,450
Cafe of Joy,600
Teashot,150
Elements - Mapple Express,600
Om Sai Punjabi Dhabha,250
Aishwarya,450
Chai Point,150
Kabab Ghar,600
Swad E Punjab,600
Shanghai Times,400
Whooppeezz,500
Hotel Manu Residency,550
Fresh Berriz,250
Calicut Mess House,250
Golden Paradise,300
Chashni Sweets,200
Win's Restaurant,400
Vijayawada Heights,600
The Taste Players,500
Thalaserry Food Court,600
Imperia Restaurant,500
Mooch Marod,350
Biryani Kitchen,450
Stoner,500
Dehati Murgee,600
Burger King,600
Mc Donald's,500
Dilli Galli,200
Jubli Biryani,500
The Chocolate Heaven,600
JLT Food,450
Woodfire Biryani,250
Kidilum,350
WOW! Momo,400
The Early bell,300
Biting Junction,350
Taco Bell,600
Pita Pit,500
New Punjabi Tasty Khana,400
Amaravati Food Court,300
Chaat Junction,200
Kshatriya's Kitchen,300
Faasos,500
Sri Sai Palace,300
New Paratha Corner,350
Angaar Biriyani,400
Zeee's,300
Andal Mess,300
KA53,300
Mangalore Lunch Home,300
Foodies Delight,400
KFC,450
New Udupi Delicacy,250
The Wok Shop,500
Delhi Walle,300
Delhi Mahal,400
Kolkata Biryani Center,250
Vijayas Biryani Palace,400
Meat and Eat,500
Krutunga Restaurant,400
Kamat Yatrinivas,500
Chatpata India,400
Subway,500
Mother's Food,200
Petuk,400
Desi Chats,200
Maa Durga Restaurant,300
Squeez Juice Bar,400
Vegtaurant,300
Rolls On Wheels,300
Nandi Mess - Feel Like Mom's,250
Pot Biryani,600
Jalsa Adda,400
Domino's Pizza,400
Night Diaries,300
Taste Of India Family Restaurant,400
Kabab Mirchi,350
Nalaas Aapakadai,400
Hyderabad Biryani,300
Andhra Ghumaghumalu,300
Grill Point,500
nu.tree,400
Mothi Restaurant,350
Bangalore Agarwal Bhavan,500
Goli Vada Pav No. 1,200
Nisarga Restaurant,300
Lenny's- Burgers and more,400
California Burrito,400
Mad Over Donuts,450
Chaat Bazaar,300
Shan-e-Punjabi Express,400
Marhaba,500
Naga's,600
Chikpet Donne Biriyani House,400
RoadHouse Grill,450
Rafoo Chakkar,300
Friend's Own,300
Biriyani House,350
Chef Baker's,400
Apna Hotel,300
Madurai Idly Shop,200
Shyam's Lunch Box,300
Windy- Taste Of Home,300
Hunan Express,550
Mayura Vybhava,250
eat.fit,300
Delhi Restaurant,350
PIZZMO,500
Sbarro,500
Kerala Restaurant,450
Udupi Cafe,300
Biriyani Section,300
BHR Foods,350
Bao & Grills,600
Vaigai Express,400
Abhiruchi Restaurant,550
Swadishta,200
Reddy's Restaurant,400
Whitefield Baking Company - Bengaluru Marriott Hotel...,400
The IT Crowd,400
Rolls Mania,450
Punjabi Kitchen,500
Kaka Food Corner,300
Desi Doze,400
Hodge Podge,300
Oven Fresh,600
Angel's Kitchen,300
S.M.S.Evening Fast Food,150
Biggies Burger 'n' More,400
Yumatos,500
Sree Krishna Kafe,200
Best In Klass,200
Desi Bytes,450
Captain Egg,400
Basaveshwara Kanawali,250
Covai Cafe,200
Mad About China,600
South Treat,400
We Foodie,300
Hotel Uttam Sagar,400
Tayabbs,350
Foodishq,450
Curries And Pickles,400
Basmati Restaurant,350
Starter House,250
Sri Lakshmi Hotel,250
The Combo House,500
Punjab Di Rasoi,400
Rayalaseema Foods,400
Hoodi Baba A Str-eat Caff,300
Spicy Andhra,500
Ambur Hot Dum Biryani,200
Tibbs Frankie,200
Ammi's Biryani,500
Tadka Punjabi Restaurant,300
NYS Kitchen,500
Crunch Pizzas,600
Purani Dehli,600
F5,300
Srinidhi Sagar,300
Hyderabadi Dum Biryani,300
The Village Restaurant,200
Gongura,500
Only Parathas,450
Saha Cabin Bengali Hotel,300
Tuk-Tuk,400
Maa Bargabhima Restaurant,250
New Udupi Upahar,300
Hotel Royal Darbar,400
Taste of Kerala,400
Hotel Nisarga Restaurant,300
Golden Food Palace,450
Five Star Chicken,300
A1 Hot Dum Biryani,150
PMR Restaurant,300
Nawabi Handi,350
Real Ambur Dum Biryani,250
Siddharth Restaurant,400
Nawab-E-Khana,500
Food Paradise,500
Hangout Junction,400
Swad Rajasthani Bhojanalaya,400
Black Pagoda,300
Food Xpress,400
Delhiciouss,300
Best,400
Udupi Grand,450
Tarama Bengali Food,200
Kailash Parbat,400
Food Dig,150
Ande Ka Funda,250
Biryani & Kabab,150
Ishwaryam,250
Hungry Wok,400
Sri Udupi Grand,200
Mad Kitchen,300
Polly's Kitchen,400
New Taj Darbar,300
Roll Junction,150
Desi Khana,300
Refresh,400
U.P. Dhaba,350
Donne Biryani Mane,300
The South,200
Aryan's Kitchen,500
Calcutta North Indian Meals,200
The Wok,500
Punjabi Family Dhaba,400
The Grilled & Fried,300
Curry Point,300
Khan Saheb Grills and Rolls,400
Indian Aroma Cafe,300
The Andhra Bhojanam,300
Shaan-E-Punjab,500
Lassi Xpress,200
Nawabs Empire,300
Little Onnion,500
Breakfast House,300
Milkyway Ice Creams & Fast Food,200
Hottey Smokey,500
Fujian Express,600
The Deli - The Den Bengaluru,600
Khane Ka Khazana,250
SLV Grand,300
Radha Rani,400
Just Parathas,250
SeeYa Restaurant,350
Venice Kerala Restaurant,200
Thai & Chinese Fast Food,400
The Crunch,300
Punjabi Charchay,400
Raapchick,300
